"name","recclass","mass","fall","year","reclat","reclong","GeoLocation"
"Graves Nunataks 98058","L5","105.7","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98059","H5","67.900000000000006","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98060","H6","54","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98061","L6","121.5","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98062","H5","51.9","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98063","H6","41.1","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98064","H6","42.7","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98065","H6","53.6","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98066","L6","18.2","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98067","Eucrite-br","53.2","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98068","L6","51.6","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98069","H6","42.5","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98070","H6","16.3","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98071","H6","64.3","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98072","H6","29.9","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98073","H6","6.5","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98074","CM2","51.9","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98075","H5","20.6","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98076","H6","29.2","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98077","L6","24.9","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98078","L6","7.5","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98079","H6","3.7","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98080","H5","91.8","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98081","H6","87.5","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98082","H6","13.5","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98083","H6","23","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98084","L6","42.3","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98085","L6","43.7","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98086","L6","32.299999999999997","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98087","H3.8","22.3","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98088","Eucrite-br","64.599999999999994","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98089","H4","60.8","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98090","H5","42.4","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98091","H5","20.8","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98092","H5","20.7","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98093","H5","40.4","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98094","L6","7.2","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98095","L6","31.9","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98096","H6","45.9","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98097","Eucrite-br","12.9","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98098","Eucrite-unbr","779.2","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98099","H5","26.7","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98100","H6","17.899999999999999","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98101","L6","38.6","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98102","CK4","7","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98103","Eucrite-br","41.1","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98104","L6","15.2","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98105","H6","13.9","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98106","L6","47.6","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98107","L6","35","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98108","Diogenite","12.7","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98109","L5","7.3","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98110","H6","70.3","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98111","H6","80","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98112","H6","86","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98113","Eucrite-br","63.7","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98114","Eucrite-br","58.7","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98115","L6","44.9","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98116","L6","66.5","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98117","H5","89.5","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98118","L6","78.400000000000006","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98119","L6","45.4","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98120","L6","42.5","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98121","H5","48","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98122","H6","12.9","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98123","L6","14.8","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98124","H5","5.8","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98125","H5","17.399999999999999","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98126","H5","26.2","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98127","H5","17.5","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98128","H5","19.600000000000001","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98130","L4","45.1","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98131","Eucrite-br","26.1","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98132","H6","14.6","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98133","H6","18.7","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98134","H5","22.4","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98135","H6","25.7","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98136","H5","2.7","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98137","H6","16.399999999999999","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98138","H5","9.8000000000000007","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98139","H6","63.8","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98141","H6","41.5","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98142","L6","9.1","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98143","L6","11","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98144","H6","13.9","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98145","H6","16.100000000000001","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98146","H5","3.6","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98147","L6","9.1999999999999993","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98148","H5","6.7","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98149","H6","79.7","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98150","H6","36.9","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98151","H6","52.8","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98152","H4","69.3","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98153","H4","35.1","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98154","H5","21.2","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
